"Country","2008-2009","%Share 2008-2009","2009-2010_x","%Share 2009-2010_x","Growth 2009-2010","2009-2010_y","%Share 2009-2010_y","2010-2011_x","%Share 2010-2011_x","Growth 2010-2011","2010-2011_y","%Share 2010-2011_y","2011-2012_x","%Share 2011-2012_x","Growth 2011-2012","2011-2012_y","%Share 2011-2012_y","2012-2013_x","%Share 2012-2013_x","Growth 2012-2013","2012-2013_y","%Share 2012-2013_y","2013-2014_x","%Share 2013-2014_x","Growth 2013-2014","2013-2014_y","%Share 2013-2014_y","2014-2015_x","%Share 2014-2015_x","Growth 2014-2015","2014-2015_y","%Share 2014-2015_y","2015-2016_x","%Share 2015-2016_x","Growth 2015-2016","2015-2016_y","%Share 2015-2016_y","2016-2017_x","%Share 2016-2017_x","Growth 2016-2017","2016-2017_y","%Share 2016-2017_y","2017-2018_x","%Share 2017-2018_x","Growth 2017-2018","2017-2018_y","%Share 2017-2018_y","2018-2019_x","%Share 2018-2019_x","Growth 2018-2019","2018-2019_y","%Share 2018-2019_y","2019-2020_x","%Share 2019-2020_x","Growth 2019-2020","2019-2020_y","%Share 2019-2020_y","2020-2021_x","%Share 2020-2021_x","Growth 2020-2021","2020-2021_y","%Share 2020-2021_y","2021-2022_x","%Share 2021-2022_x","Growth 2021-2022","2021-2022_y","%Share 2021-2022_y","2022-2023_x","%Share 2022-2023_x","Growth 2022-2023","2022-2023_y","%Share 2022-2023_y","2023-2024_x","%Share 2023-2024_x","Growth 2023-2024","2023-2024_y","%Share 2023-2024_y","2024-2025","%Share 2024-2025","Growth 2024-2025"
"Armenia","10.986180605194184","0.011","10.430116750059568","0.0104","-5.06","10.430116750059568","0.000012389802239695018","10.717464855849416","0.000009411484393614489","0.0032820878692712","10.717464855849416","0.0079","21.899130331188942","0.0125","104.33","21.899130331188942","0.0125","26.26084107695973","0.0135","19.92","26.26084107695973","0.0135","52.662747200381226","0.0232","100.54","52.662747200381226","0.0232","66.75705265665952","0.0295","26.76","66.75705265665952","0.0295","17.871848939718845","0.0087","-73.23","17.871848939718845","0.0087","24.21553490588516","0.011","35.5","24.21553490588516","0.011","25.56807243269002","0.011","5.59","25.56807243269002","0.011","21.533964736716705","0.0078","-15.78","21.533964736716705","0.0078","34.077924708124854","0.0129","58.25","34.077924708124854","0.0129","61.30826781034072","0.0238","79.91","61.30826781034072","0.000028353585894686683","24.346580891112698","0.000007743626399809388","-0.0718230383629991","24.346580891112698","0.0065","59.049845127472","0.0137","142.54","59.049845127472","0.0137","93.89272099118418","0.0218","59.01","93.89272099118418","0.00002597093161782225","29.562223016440317","0.00004729568739575888","-0.0816236522460209"
"Aruba","1.073218965928044","0.0011","0.8338694305456279","0.0008","-22.3","0.8338694305456279","0.0000009530617107457708","0.8098522754348344","0.000000714796283059328","-0.0034312672492025","0.8098522754348344","0.0006","1.5177388610912557","0.0009","87.41","1.5177388610912557","0.0009","1.8695496783416727","0.001","23.18","1.8695496783416727","0.001","2.398915892304027","0.0011","28.31","2.398915892304027","0.0011","2.8336430783893256","0.0013","18.12","2.8336430783893256","0.0013","5.415320467000238","0.0026","91.11","5.415320467000238","0.0026","6.322897307600667","0.0029","16.76","6.322897307600667","0.0029","4.947569692637598","0.0021","-21.75","4.947569692637598","0.0021","8.03946866809626","0.0029","62.49","8.03946866809626","0.0029","8.343435787467238","0.0032","3.78","8.343435787467238","0.0032","2.4649154157731714","0.001","-70.46","2.4649154157731714","0.0000011913271384322135","5.5270073862282585","0.0000017869907076483204","0.1479950687733542","5.5270073862282585","0.0015","14.073111746485583","0.0033","154.62","14.073111746485583","0.0033","14.572563736001904","0.0034","3.55","14.572563736001904","0.000004050512270669526","1.8604836788182035","0.000002978317846080534","-0.1039230037514374"
"Australia","783.4565046461759","0.7822","781.3856445079819","0.7757","-0.26","781.3856445079819","0.0009241124612818","929.5897545866096","0.000817607815106","0.0225957028523398","929.5897545866096","0.6863","1428.4274243507266","0.8179","53.66","1428.4274243507266","0.8179","1524.160698117703","0.7828","6.7","1524.160698117703","0.7828","1662.9123540624253","0.7327","9.1","1662.9123540624253","0.7327","2025.4005837502975","0.8965","21.8","2025.4005837502975","0.8965","2541.195580176316","1.2428","25.47","2541.195580176316","1.2428","2362.147057421968","1.0721","-7.05","2362.147057421968","1.0721","3080.357981891828","1.3216","30.41","3080.357981891828","1.3216","2925.910162020491","1.0643","-5.01","2925.910162020491","1.0643","2406.229044555635","0.9099","-17.76","2406.229044555635","0.9099","3565.3608172504173","1.3862","48.17","3565.3608172504173","0.0016514176792947","7367.291720276388","0.0023410769597331","0.1270374499350652","7367.291720276388","1.9651","6618.397176554681","1.534","-10.17","6618.397176554681","1.534","7823.164367405289","1.8144","18.2","7823.164367405289","0.0021615439599714","1022.229568739576","0.0016340243030736","-0.1035659972340032"
"Austria","276.7226828687157","0.2763","143.00576602335002","0.142","-48.32","143.00576602335002","0.0001691684536573","320.7470216821539","0.0002821062663807","0.1480695410916347","320.7470216821539","0.2368","194.3436502263521","0.1113","-39.41","194.3436502263521","0.1113","213.02282582797235","0.1094","9.61","213.02282582797235","0.1094","242.6816535620682","0.1069","13.92","242.6816535620682","0.1069","264.23606147248034","0.117","8.88","264.23606147248034","0.117","265.38354777221826","0.1298","0.43","265.38354777221826","0.1298","306.0039194662854","0.1389","15.31","306.0039194662854","0.1389","353.196187753157","0.1515","15.42","353.196187753157","0.1515","401.9240528949249","0.1462","13.8","401.9240528949249","0.1462","384.6613176078152","0.1455","-4.3","384.6613176078152","0.1455","399.61074577078864","0.1554","3.89","399.61074577078864","0.0001851322373123","500.9656897784131","0.0001591613056945","0.0302161282419115","500.9656897784131","0.1336","1212.481808434596","0.281","142.03","1212.481808434596","0.281","1121.3381462949726","0.2601","-7.52","1121.3381462949726","0.0003098641887062","272.5455563497737","0.0004356683345246","-0.0901770487914787"
"Azerbaijan","18.954253037884204","0.0189","16.91934715272814","0.0168","-10.74","16.91934715272814","0.000020014295925661188","20.88118894448415","0.00001834643793185609","0.0278961688183861","20.88118894448415","0.0154","41.67452942578032","0.0239","99.58","41.67452942578032","0.0239","56.58211817965213","0.0291","35.77","56.58211817965213","0.0291","88.95673099833215","0.0392","57.22","88.95673099833215","0.0392","80.53021205623064","0.0356","-9.47","80.53021205623064","0.0356","25.99731951393853","0.0127","-67.72","25.99731951393853","0.0127","32.22989039790327","0.0146","23.97","32.22989039790327","0.0146","25.86845365737432","0.0111","-19.74","25.86845365737432","0.0111","36.48671670240648","0.0133","41.05","36.48671670240648","0.0133","44.8012151536812","0.0169","22.79","44.8012151536812","0.0169","44.81956159161306","0.0174","0.04","44.81956159161306","0.000020729092208720515","32.34360257326662","0.000010245413390517036","-0.033161744623815","32.34360257326662","0.0086","96.94219680724328","0.0225","199.73","96.94219680724328","0.0225","88.50335954253039","0.0205","-8.71","88.50335954253039","0.000024422206337860376","14.19832022873481","0.00002275434834405528","-0.1000206210412363"
"Bahamas","1.2324755777936622","0.0012","489.9251012628068","0.4864","39651.24","489.9251012628068","0.0005794615201334","1183.0326304503217","0.0010405051227066","0.1685396006949745","1183.0326304503217","0.8734","1258.2184893971887","0.7204","6.36","1258.2184893971887","0.7204","1727.3965808911123","0.8872","37.29","1727.3965808911123","0.8872","155.13383369073148","0.0684","-91.02","155.13383369073148","0.0684","87.37572075291874","0.0387","-43.68","87.37572075291874","0.0387","9.4024303073624","0.0046","-89.24","9.4024303073624","0.0046","4.744019537765071","0.0022","-49.54","4.744019537765071","0.0022","6.200131045985228","0.0027","30.69","6.200131045985228","0.0027","5.072790088158209","0.0018","-18.18","5.072790088158209","0.0018","51.384345961401","0.0194","912.94","51.384345961401","0.0194","4.017869907076483","0.0016","-92.18","4.017869907076483","0.0000019061234214915417","7.161817965213247","0.000002263521563021206","0.0932203065331425","7.161817965213247","0.0019","12.323481057898498","0.0029","72.07","12.323481057898498","0.0029","105.2510483678818","0.0244","754.07","105.2510483678818","0.000029068382177746014","1.4503216583273768","0.000002263521563021206","-0.1174911078185647"
"Baharain Is","156.5493090302597","0.1563","141.18111746485584","0.1402","-9.82","141.18111746485584","0.0001670240648081","349.3886585656422","0.0003072432690016","0.1756915503954362","349.3886585656422","0.2579","252.36408148677629","0.1445","-27.77","252.36408148677629","0.1445","391.19220872051466","0.2009","55.01","391.19220872051466","0.2009","448.3215630212056","0.1975","14.6","448.3215630212056","0.1975","345.0695973314272","0.1527","-23.03","345.0695973314272","0.1527","507.4333690731475","0.2482","47.05","507.4333690731475","0.2482","376.767357636407","0.171","-25.75","376.767357636407","0.171","427.54964260185847","0.1834","13.48","427.54964260185847","0.1834","621.2561353347629","0.226","45.31","621.2561353347629","0.226","472.9121634500834","0.1788","-23.88","472.9121634500834","0.1788","465.0501072194425","0.1808","-1.66","465.0501072194425","0.0002153919466285","798.9099118417918","0.0002538718131999","0.0855254604834661","798.9099118417918","0.2131","927.7812961639264","0.215","16.13","927.7812961639264","0.215","898.4667024064807","0.2084","-3.16","898.4667024064807","0.0002482725756492","133.35769597331426","0.0002131284250655","-0.101450072749648"
"Bangladesh Pr","1348.250500357398","1.3461","1370.1534786752443","1.3602","1.62","1370.1534786752443","0.0016204431736954","1757.5023826542767","0.0015457469621157","0.0336793847210726","1757.5023826542767","1.2975","2190.456385513462","1.2542","24.63","2190.456385513462","1.2542","3333.640421729807","1.7122","52.19","3333.640421729807","1.7122","4456.90499166071","1.9638","33.69","4456.90499166071","1.9638","4698.639706933524","2.0798","5.42","4698.639706933524","2.0798","4708.989599714082","2.3029","0.22","4708.989599714082","2.3029","5449.182392184895","2.4732","15.72","5449.182392184895","2.4732","6616.272861567786","2.8386","21.42","6616.272861567786","2.8386","7671.13682392185","2.7903","15.94","7671.13682392185","2.7903","6930.737300452704","2.6207","-9.65","6930.737300452704","2.6207","8519.096199666428","3.3121","22.92","8519.096199666428","0.0039457946152013","14359.628984989278","0.0045629020729092","0.081675157164332","14359.628984989278","3.8301","11649.333559685489","2.7001","-18.87","11649.333559685489","2.7001","10914.14474624732","2.5313","-6.31","10914.14474624732","0.0030156063855134","1773.4647248034312","0.0028348820586132","-0.0997745625191151"
"Barbados","2.098701453419109","0.0021","2.432678103407196","0.0024","15.91","2.432678103407196","0.000002859185132237312","2.957243269001668","0.00000262091970455087","0.0256889194165726","2.957243269001668","0.0022","4.307695973314273","0.0025","45.67","4.307695973314273","0.0025","3.8040385989992855","0.002","-11.69","3.8040385989992855","0.002","4.641005480104837","0.002","22","4.641005480104837","0.002","7.433988563259471","0.0033","60.18","7.433988563259471","0.0033","8.215558732427924","0.004","10.51","8.215558732427924","0.004","9.881212771026926","0.0045","20.27","9.881212771026926","0.0045","9.789051703597808","0.0042","-0.93","9.789051703597808","0.0042","10.373969502025256","0.0038","5.98","10.373969502025256","0.0038","10.773385751727425","0.0041","3.85","10.773385751727425","0.0041","9.768870621872766","0.0038","-9.32","9.768870621872766","0.000004527043126042412","14.390421729807004","0.000004527043126042412","0.0563604480973054","14.390421729807004","0.0038","22.936347390993568","0.0053","59.39","22.936347390993568","0.0053","18.578425065522996","0.0043","-19","18.578425065522996","0.000005122706695258518","6.0022873481057895","0.000009649749821300927","-0.0806435104513973"
"Belarus","19.479330474148203","0.0194","21.406933523945675","0.0213","9.9","21.406933523945675","0.000025375268048606145","19.651894210150104","0.000017274243507267096","-0.0097670502933141","19.651894210150104","0.0145","71.16847748391709","0.0408","262.15","71.16847748391709","0.0408","35.87230164403145","0.0184","-49.6","35.87230164403145","0.0184","38.77080057183703","0.0171","8.08","38.77080057183703","0.0171","34.988456040028595","0.0155","-9.76","34.988456040028595","0.0155","27.965737431498688","0.0137","-20.07","27.965737431498688","0.0137","32.08263045032166","0.0146","14.72","32.08263045032166","0.0146","36.561925184655706","0.0157","13.96","36.561925184655706","0.0157","46.45864903502502","0.0169","27.07","46.45864903502502","0.0169","47.060019061234215","0.0178","1.29","47.060019061234215","0.0178","54.96395044079104","0.0214","16.8","54.96395044079104","0.000025494400762449366","57.99720038122468","0.00001846557064569931","0.006574478258398","57.99720038122468","0.0155","41.92512508934953","0.0097","-27.71","41.92512508934953","0.0097","43.23071241362878","0.01","3.11","43.23071241362878","0.000011913271384322135","7.818680009530618","0.000012508934953538244","-0.0975864446238994"
"Belgium","2419.5134500833933","2.4156","2115.4454848701453","2.1001","-12.57","2115.4454848701453","0.0025019061234214","3138.7941505837503","0.0027606623778889","0.0576305580201632","3138.7941505837503","2.3173","4075.07099118418","2.3334","29.83","4075.07099118418","2.3334","3565.213521563021","1.8311","-12.51","3565.213521563021","1.8311","4608.870490826781","2.0308","29.27","4608.870490826781","2.0308","4016.915773171313","1.778","-12.84","4016.915773171313","1.778","3926.46505837503","1.9202","-2.25","3926.46505837503","1.9202","4516.921527281392","2.0501","15.04","4516.921527281392","2.0501","4766.17194424589","2.0448","5.52","4766.17194424589","2.0448","5600.15283535859","2.037","17.5","5600.15283535859","2.037","4904.002573266619","1.8544","-12.43","4904.002573266619","1.8544","4608.384381701216","1.7917","-6.03","4608.384381701216","0.0021345008339289","8961.716809625925","0.0028476292589945","0.1125392900079477","8961.716809625925","2.3903","8458.188348820588","1.9604","-5.62","8458.188348820588","1.9604","7728.384965451513","1.7924","-8.63","7728.384965451513","0.0021353347629258","1040.6127948534668","0.0016634500833928","-0.103091713444682"
"Belize","1.563319037407672","0.0016","1.3923993328568025","0.0014","-10.93","1.3923993328568025","0.000001667857993805099","7.773361925184656","0.000006790564689063618","0.545950700074253","7.773361925184656","0.0057","14.94949964260186","0.0086","92.32","14.94949964260186","0.0086","15.259113652609008","0.0078","2.07","15.259113652609008","0.0078","15.966738146294972","0.007","4.64","15.966738146294972","0.007","17.8347271860853","0.0079","11.7","17.8347271860853","0.0079","11.332868715749344","0.0055","-36.46","11.332868715749344","0.0055","12.17937812723374","0.0055","7.47","12.17937812723374","0.0055","10.345246604717657","0.0044","-15.06","10.345246604717657","0.0044","14.159852275434837","0.0052","36.87","14.159852275434837","0.0052","12.039087443411962","0.0046","-14.98","12.039087443411962","0.0046","8.297939004050512","0.0032","-31.08","8.297939004050512","0.0000038122468429830834","13.559983321420065","0.000004288777698355969","0.0755466652123536","13.559983321420065","0.0036","15.2925542053848","0.0035","12.78","15.2925542053848","0.0035","13.278436978794378","0.0031","-13.17","13.278436978794378","0.000003693114129139862","2.334024303073624","0.000003693114129139862","-0.0981920978772569"
"Benin","111.60054801048368","0.1114","124.65802954491303","0.1238","11.7","124.65802954491303","0.0001474862997379","142.88732427924708","0.0001256850131045","0.0174213033935909","142.88732427924708","0.1055","367.28746723850367","0.2103","157.05","367.28746723850367","0.2103","310.3124493685966","0.1594","-15.51","310.3124493685966","0.1594","552.3494758160591","0.2434","78","552.3494758160591","0.2434","361.98620443173695","0.1602","-34.46","361.98620443173695","0.1602","333.32755539671194","0.163","-7.92","333.32755539671194","0.163","357.54685489635455","0.1623","7.27","357.54685489635455","0.1623","368.03196330712416","0.1579","2.93","368.03196330712416","0.1579","355.8674410293067","0.1294","-3.31","355.8674410293067","0.1294","273.6999642601858","0.1035","-23.09","273.6999642601858","0.1035","488.73590659995233","0.19","78.57","488.73590659995233","0.0002263521563021","637.0992852037169","0.0002024064808196","0.0361645864143216","637.0992852037169","0.1699","858.2433404812961","0.1989","34.71","858.2433404812961","0.1989","740.5075530140577","0.1717","-13.72","740.5075530140577","0.0002045508696688","158.56723850369312","0.0002535144150583","-0.0936224467666994"
