"Country","2008-2009","%Share 2008-2009","2009-2010_x","%Share 2009-2010_x","Growth 2009-2010","2009-2010_y","%Share 2009-2010_y","2010-2011_x","%Share 2010-2011_x","Growth 2010-2011","2010-2011_y","%Share 2010-2011_y","2011-2012_x","%Share 2011-2012_x","Growth 2011-2012","2011-2012_y","%Share 2011-2012_y","2012-2013_x","%Share 2012-2013_x","Growth 2012-2013","2012-2013_y","%Share 2012-2013_y","2013-2014_x","%Share 2013-2014_x","Growth 2013-2014","2013-2014_y","%Share 2013-2014_y","2014-2015_x","%Share 2014-2015_x","Growth 2014-2015","2014-2015_y","%Share 2014-2015_y","2015-2016_x","%Share 2015-2016_x","Growth 2015-2016","2015-2016_y","%Share 2015-2016_y","2016-2017_x","%Share 2016-2017_x","Growth 2016-2017","2016-2017_y","%Share 2016-2017_y","2017-2018_x","%Share 2017-2018_x","Growth 2017-2018","2017-2018_y","%Share 2017-2018_y","2018-2019_x","%Share 2018-2019_x","Growth 2018-2019","2018-2019_y","%Share 2018-2019_y","2019-2020_x","%Share 2019-2020_x","Growth 2019-2020","2019-2020_y","%Share 2019-2020_y","2020-2021_x","%Share 2020-2021_x","Growth 2020-2021","2020-2021_y","%Share 2020-2021_y","2021-2022_x","%Share 2021-2022_x","Growth 2021-2022","2021-2022_y","%Share 2021-2022_y","2022-2023_x","%Share 2022-2023_x","Growth 2022-2023","2022-2023_y","%Share 2022-2023_y","2023-2024_x","%Share 2023-2024_x","Growth 2023-2024","2023-2024_y","%Share 2023-2024_y","2024-2025","%Share 2024-2025","Growth 2024-2025"
"Cook Is","0.0002382654276864","0","0.0","0","0","0.0","0.0","0.0438050988801524","0.0","0.0","0.0438050988801524","0","0.0205980462234929","0","-52.98","0.0205980462234929","0.0","0.0","0.0","-0.1191327138432213","0.0","0","0.0","0","0","0.0","0","0.0019895163211817","0","0","0.0019895163211817","0","0.0","0","0","0.0","0","0.0","0","0","0.0","0","0.0057064569930903","0","0","0.0057064569930903","0","0.0160233500119132","0","180.61","0.0160233500119132","0","0.0","0","0","0.0","0","0.0294972599475816","0","0","0.0294972599475816","0","0.0","0","0","0.0","0","0.0","0","0","0.0","0","0.0","0","0","0.0","0","0.0","0","0.0"
"Costa Rica","40.47861567786514","0.0247","52.81897784131522","0.0325","30.49","52.81897784131522","0.00003871813199904694","51.93740767214677","0.00003085537288539433","-0.0019883733269468","51.93740767214677","0.0259","116.61036454610438","0.0417","124.52","116.61036454610438","0.0000496783416726233","142.59384083869432","0.00005337145580176317","0.0265455138388953","142.59384083869432","0.0448","147.24095782701932","0.0455","3.26","147.24095782701932","0.0455","112.20494400762448","0.0344","-23.8","112.20494400762448","0.0344","47.972456516559454","0.0162","-57.25","47.972456516559454","0.0162","46.96651179413868","0.0153","-2.1","46.96651179413868","0.0153","51.65806528472719","0.0144","9.99","51.65806528472719","0.0144","41.65138193948058","0.0097","-19.37","41.65138193948058","0.0097","40.832201572551824","0.0102","-1.97","40.832201572551824","0.0102","41.7495472956874","0.012","2.25","41.7495472956874","0.012","56.11505837502979","0.0103","34.41","56.11505837502979","0.0103","58.15689778413152","0.0085","3.64","58.15689778413152","0.0085","116.27556588039076","0.0175","99.93","116.27556588039076","0.0175","22.529366213962355","0.0195","-0.0960497512455759"
"Cote D' Ivoire","172.9774124374553","0.1056","169.7370026209197","0.1045","-1.87","169.7370026209197","0.0001244936859661","137.255920895878","0.0000814867762687634","-0.0227973827434063","137.255920895878","0.0684","269.11314033833696","0.0963","96.07","269.11314033833696","0.000114724803431","250.7610197760305","0.00009399571122230164","-0.008124233267156","250.7610197760305","0.0789","213.31471289015963","0.0659","-14.93","213.31471289015963","0.0659","383.0942101501072","0.1175","79.59","383.0942101501072","0.1175","440.4428639504408","0.1485","14.97","440.4428639504408","0.1485","364.0939718846795","0.1186","-17.33","364.0939718846795","0.1186","339.1547295687396","0.0949","-6.85","339.1547295687396","0.0949","499.8462234929712","0.1167","47.38","499.8462234929712","0.1167","380.3904574696212","0.095","-23.9","380.3904574696212","0.095","280.21742911603525","0.0807","-26.33","280.21742911603525","0.0807","418.6898260662378","0.0769","49.42","418.6898260662378","0.0769","631.597367167024","0.0922","50.85","631.597367167024","0.0922","378.8373600190613","0.0569","-40.02","378.8373600190613","0.0569","98.88687157493447","0.0858","-0.0880358300153029"
"Croatia","8.502883011675005","0.0052","14.986121038837268","0.0092","76.25","14.986121038837268","0.000010960209673576365","15.489111269954728","0.000009173218965928045","0.0039985391225895","15.489111269954728","0.0077","13.688801524898738","0.0049","-11.62","13.688801524898738","0.000005837502978317846","11.81814391231832","0.000004407910412199191","-0.0162802066822891","11.81814391231832","0.0037","6.964379318560877","0.0022","-41.07","6.964379318560877","0.0022","20.674231593995717","0.0063","196.86","20.674231593995717","0.0063","28.07245651655945","0.0095","35.78","28.07245651655945","0.0095","20.25574219680724","0.0066","-27.84","20.25574219680724","0.0066","24.598820586132955","0.0069","21.44","24.598820586132955","0.0069","31.9832856802478","0.0075","30.02","31.9832856802478","0.0075","48.06477245651656","0.012","50.28","48.06477245651656","0.012","37.58575172742435","0.0108","-21.8","37.58575172742435","0.0108","52.649070764832025","0.0097","40.08","52.649070764832025","0.0097","113.7325947105075","0.0166","116.02","113.7325947105075","0.0166","57.29823683583513","0.0086","-49.62","57.29823683583513","0.0086","10.12918751489159","0.0088","-0.0980724218636745"
"Cuba","0.7341553490588515","0.0004","0.597891350964975","0.0004","-18.56","0.597891350964975","0.0000004765308553728854","0.5990588515606385","0.000000357398141529664","0.0002326300826237","0.5990588515606385","0.0003","2.2496068620443173","0.0008","275.53","2.2496068620443173","0.0000009530617107457708","2.5728496545151303","0.0000009530617107457708","0.0171180092606556","2.5728496545151303","0.0008","1.750512270669526","0.0005","-31.96","1.750512270669526","0.0005","1.1444722420776745","0.0004","-34.62","1.1444722420776745","0.0004","1.045151298546581","0.0004","-8.68","1.045151298546581","0.0004","1.0465808911126997","0.0003","0.14","1.0465808911126997","0.0003","1.58040266857279","0.0004","51.01","1.58040266857279","0.0004","3.1706099594948776","0.0007","100.62","3.1706099594948776","0.0007","3.004777221825113","0.0008","-5.23","3.004777221825113","0.0008","61.28766976411724","0.0176","1939.68","61.28766976411724","0.0176","0.8811889444841553","0.0002","-98.56","0.8811889444841553","0.0002","4.712913986180605","0.0007","434.83","4.712913986180605","0.0007","2.1618775315701693","0.0003","-54.13","2.1618775315701693","0.0003","1.4236954967834166","0.0012","-0.0406783584316106"
"Cyprus","81.16180605194187","0.0496","7.948903979032643","0.0049","-90.21","7.948903979032643","0.000005837502978317846","11.083607338575174","0.000006552299261377174","0.0469807811618844","11.083607338575174","0.0055","15.506933523945676","0.0055","39.91","15.506933523945676","0.000006552299261377174","13.805706456993091","0.000005122706695258518","-0.0130697534129904","13.805706456993091","0.0043","14.51424827257565","0.0045","5.13","14.51424827257565","0.0045","16.642244460328808","0.0051","14.66","16.642244460328808","0.0051","37.39846318799143","0.0126","124.72","37.39846318799143","0.0126","52.99381701215154","0.0173","41.7","52.99381701215154","0.0173","10.333440552775793","0.0029","-80.5","10.333440552775793","0.0029","326.0553609721229","0.0761","3055.34","326.0553609721229","0.0761","63.08149868954016","0.0158","-80.65","63.08149868954016","0.0158","21.17990231117465","0.0061","-66.42","21.17990231117465","0.0061","66.22553014057661","0.0122","212.68","66.22553014057661","0.0122","112.03056945437218","0.0164","69.17","112.03056945437218","0.0164","41.48721705980463","0.0062","-62.97","41.48721705980463","0.0062","14.120562306409338","0.0122","-0.078584780581516"
"Czech Republic","260.1514772456517","0.1589","316.76140100071484","0.195","21.76","316.76140100071484","0.0002323087919942","366.8379795091733","0.0002178937336192","0.0188336037119696","366.8379795091733","0.1829","408.2241005480104","0.1461","11.28","408.2241005480104","0.0001740528949249","417.2172623302358","0.0001563021205623","0.0026244892638857","417.2172623302358","0.1312","374.0614248272576","0.1156","-10.34","374.0614248272576","0.1156","377.176316416488","0.1157","0.83","377.176316416488","0.1157","395.39578270192993","0.1333","4.83","395.39578270192993","0.1333","430.9754944007625","0.1403","9","430.9754944007625","0.1403","514.1033595425304","0.1438","19.29","514.1033595425304","0.1438","215.35789849892785","0.0503","-58.11","215.35789849892785","0.0503","253.45231117464851","0.0633","17.69","253.45231117464851","0.0633","346.2264593757446","0.0997","36.6","346.2264593757446","0.0997","525.3638908744342","0.0964","51.74","525.3638908744342","0.0964","743.797367167024","0.1086","41.58","743.797367167024","0.1086","726.7475101262806","0.1091","-2.29","726.7475101262806","0.1091","129.825851798904","0.1126","-0.0978508988575411"
"Denmark","259.79684298308314","0.1587","336.99866571360496","0.2074","29.72","336.99866571360496","0.0002470812485108","256.57468429830834","0.0001523707410054","-0.0284307569698911","256.57468429830834","0.1279","349.3205265665952","0.125","36.15","349.3205265665952","0.000148915892304","351.4084584226829","0.0001316416487967","0.0007120709188786","351.4084584226829","0.1105","320.6483559685489","0.0991","-8.75","320.6483559685489","0.0991","333.683940910174","0.1023","4.07","333.683940910174","0.1023","334.99683106981183","0.1129","0.39","334.99683106981183","0.1129","384.8987014534191","0.1253","14.9","384.8987014534191","0.1253","433.72394567548247","0.1213","12.69","433.72394567548247","0.1213","447.0779127948535","0.1044","3.08","447.0779127948535","0.1044","534.2289254229212","0.1334","19.49","534.2289254229212","0.1334","520.0983083154634","0.1497","-2.65","520.0983083154634","0.1497","791.5643316654754","0.1453","52.2","791.5643316654754","0.1453","737.2333095067905","0.1076","-6.86","737.2333095067905","0.1076","904.4641887062188","0.1357","22.68","904.4641887062188","0.1357","140.5686085299023","0.1219","-0.1006175310151568"
"Djibouti","2.0078508458422686","0.0012","0.6722778174886823","0.0004","-66.52","0.6722778174886823","0.0000004765308553728854","1.303216583273767","0.000000714796283059328","0.1118071212250508","1.303216583273767","0.0006","1.2304503216583271","0.0004","-5.58","1.2304503216583271","0.0000004765308553728854","3.3492732904455567","0.000001310459852275435","0.2051453244246184","3.3492732904455567","0.0011","2.890445556349773","0.0009","-13.7","2.890445556349773","0.0009","1.0771741720276389","0.0003","-62.73","1.0771741720276389","0.0003","0.9451751250893496","0.0003","-12.25","0.9451751250893496","0.0003","2.2601501072194425","0.0007","139.13","2.2601501072194425","0.0007","4.180247796044794","0.0012","84.95","4.180247796044794","0.0012","13.10937574457946","0.0031","213.6","13.10937574457946","0.0031","16.403764593757444","0.0041","25.13","16.403764593757444","0.0041","17.752513700262092","0.0051","8.22","17.752513700262092","0.0051","36.9639861806052","0.0068","108.22","36.9639861806052","0.0068","53.68498927805575","0.0078","45.24","53.68498927805575","0.0078","21.921074577078866","0.0033","-59.17","21.921074577078866","0.0033","2.36116273528711","0.002","-0.1063006912390757"
"Dominic Rep","5.675327614963068","0.0035","5.332642363593044","0.0033","-6.04","5.332642363593044","0.0000039313795568263045","8.598093876578508","0.000005122706695258518","0.0729510951871325","8.598093876578508","0.0043","3.7938765785084585","0.0014","-55.88","3.7938765785084585","0.000001667857993805099","7.031141291398617","0.00000262091970455087","0.101654369269736","7.031141291398617","0.0022","9.035025017869907","0.0028","28.5","9.035025017869907","0.0028","214.8224684298308","0.0659","2277.66","214.8224684298308","0.0659","374.8040028591851","0.1263","74.47","374.8040028591851","0.1263","537.8573266619014","0.1751","43.5","537.8573266619014","0.1751","497.0610078627592","0.139","-7.58","497.0610078627592","0.139","476.5162020490827","0.1113","-4.13","476.5162020490827","0.1113","303.64191088873","0.0758","-36.28","303.64191088873","0.0758","224.0760424112461","0.0645","-26.2","224.0760424112461","0.0645","576.8950798189182","0.1059","157.46","576.8950798189182","0.1059","346.7721825113176","0.0506","-39.89","346.7721825113176","0.0506","563.0507028830117","0.0845","62.37","563.0507028830117","0.0845","10.908315463426256","0.0095","-0.1168246850671948"
"Dominica","0.347152728139147","0.0002","0.2757922325470574","0.0002","-20.56","0.2757922325470574","0.0000002382654276864427","0.183285680247796","0.00000011913271384322137","-0.0399596338225751","0.183285680247796","0.0001","0.1582558970693352","0.0001","-13.66","0.1582558970693352","0.00000011913271384322137","1.0272933047414818","0.000000357398141529664","0.6541985905391047","1.0272933047414818","0.0003","0.0512032404098165","0","-95.02","0.0512032404098165","0","0.0746962115796997","0","45.9","0.0746962115796997","0","0.0742077674529425","0","-0.66","0.0742077674529425","0","0.6248391708363117","0.0002","742.05","0.6248391708363117","0.0002","0.2110197760304979","0.0001","-66.23","0.2110197760304979","0.0001","0.2647605432451752","0.0001","25.47","0.2647605432451752","0.0001","0.2084345961401001","0.0001","-21.28","0.2084345961401001","0.0001","0.2192756730998332","0.0001","5.2","0.2192756730998332","0.0001","0.1690493209435311","0","-22.91","0.1690493209435311","0","0.5791398618060519","0.0001","242.59","0.5791398618060519","0.0001","0.4933523945675483","0.0001","-14.81","0.4933523945675483","0.0001","0.0325113176078151","0","-0.1112820141407643"
"Ecuador","17.87535144150584","0.0109","38.33243983797951","0.0236","114.44","38.33243983797951","0.00002811532046700024","89.93924231593995","0.00005337145580176317","0.1603878714205678","89.93924231593995","0.0448","25.816356921610677","0.0092","-71.3","25.816356921610677","0.000010960209673576365","560.9054443650227","0.0002101501072194","2.4692335688024456","560.9054443650227","0.1764","189.15954253037884","0.0585","-66.28","189.15954253037884","0.0585","764.2107100309745","0.2344","304","764.2107100309745","0.2344","435.0752561353347","0.1466","-43.07","435.0752561353347","0.1466","284.05549201810817","0.0925","-34.71","284.05549201810817","0.0925","148.95187038360734","0.0417","-47.56","148.95187038360734","0.0417","183.4522992613772","0.0428","23.16","183.4522992613772","0.0428","304.44316178222545","0.076","65.95","304.44316178222545","0.076","295.367762687634","0.085","-2.98","295.367762687634","0.085","898.0005956635691","0.1648","204.03","898.0005956635691","0.1648","972.4345723135572","0.142","8.29","972.4345723135572","0.142","784.4584345961401","0.1177","-19.33","784.4584345961401","0.1177","15.909101739337622","0.0138","-0.1167166591723439"
"Egypt A Rp","1163.3383249940434","0.7105","957.336418870622","0.5893","-17.71","957.336418870622","0.0007020490826781","733.6020490826783","0.0004357874672385","-0.0278419186060889","733.6020490826783","0.3658","1709.6172504169645","0.6118","133.04","1709.6172504169645","0.0007288539432928","1650.4957707886583","0.0006182987848463","-0.0041198123807121","1650.4957707886583","0.519","1714.4556945437218","0.53","3.88","1714.4556945437218","0.53","1268.219918989755","0.3889","-26.03","1268.219918989755","0.3889","943.7439718846796","0.3181","-25.59","943.7439718846796","0.3181","930.477495830355","0.303","-1.41","930.477495830355","0.303","992.6957707886586","0.2777","6.69","992.6957707886586","0.2777","1393.6337502978315","0.3254","40.39","1393.6337502978315","0.3254","1714.425887538718","0.4282","23.02","1714.425887538718","0.4282","1670.1791875148913","0.4808","-2.58","1670.1791875148913","0.4808","3125.599702168216","0.5737","87.14","3125.599702168216","0.5737","1866.6118537050277","0.2725","-40.28","1866.6118537050277","0.2725","1210.2540743388136","0.1816","-35.16","1210.2540743388136","0.1816","296.54746247319514","0.2572","-0.0899417325965329"
